source,label,corpus,role,alpha,score,correction,n_points,n_patients,prevalence,n_positive,coverage_mean,coverage_sd,coverage_diagnosis_mean,coverage_diagnosis_sd,coverage_no_diagnosis_mean,coverage_no_diagnosis_sd,mean_set_size_mean,mean_set_size_sd,threshold_no_diagnosis_mean,threshold_diagnosis_mean,threshold_diagnosis_n_infinite,n_draws_target_prior_unidentified,calibration_n_mean,calibration_effective_size_mean,n_draws
chapman_ningbo,RBBB,ptbxl,away,0.2,aps,mondrian,8000,6937,0.026,208,0.8007,0.0136,0.8637,0.049,0.799,0.0141,0.8121,0.0138,0.79978,0.863,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.2,aps,mondrian,8000,7671,0.02738,219,0.8009,0.0137,0.8096,0.0483,0.8007,0.0143,0.8053,0.0138,0.79978,0.863,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.2,aps,mondrian,7983,7983,0.04121,329,0.8009,0.0134,0.7935,0.0438,0.8012,0.0141,0.8128,0.0137,0.79978,0.863,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.2,aps,mondrian,4115,4115,0.052,214,0.7937,0.0131,0.7572,0.0382,0.7957,0.0141,0.8237,0.0137,0.79978,0.863,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.2,aps,mondrian,4124,4124,0.18768,774,0.7605,0.0129,0.6031,0.0321,0.7968,0.0152,0.8254,0.0141,0.79978,0.863,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.2,aps,weighted,1995,1995,0.0411,82,0.8005,0.0179,0.7497,0.059,0.8027,0.0183,0.8106,0.018,0.802,0.80204,0,0,997.0,994.8,200
chapman_ningbo,RBBB,ptbxl,away,0.2,aps,weighted,8000,6937,0.026,208,0.8009,0.0137,0.8054,0.0246,0.8007,0.0138,0.8111,0.014,0.80152,0.80138,0,0,997.0,994.8,200
chapman_ningbo,RBBB,sph,away,0.2,aps,weighted,8000,7671,0.02738,219,0.8006,0.014,0.7517,0.0267,0.802,0.014,0.8049,0.0141,0.8011,0.80078,0,0,997.0,990.5,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.2,aps,weighted,7983,7983,0.04121,329,0.8009,0.0136,0.7411,0.0201,0.8034,0.0137,0.8121,0.014,0.80202,0.80201,0,0,997.0,996.4,200
chapman_ningbo,RBBB,georgia,away,0.2,aps,weighted,4115,4115,0.052,214,0.7945,0.0133,0.7122,0.0215,0.799,0.0134,0.8226,0.0141,0.80312,0.80361,0,0,997.0,985.7,200
chapman_ningbo,RBBB,cpsc,away,0.2,aps,weighted,4124,4124,0.18768,774,0.7597,0.0139,0.5666,0.0142,0.8043,0.0151,0.8246,0.0152,0.80741,0.80963,0,0,997.0,771.8,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.1,lac,none,1995,1995,0.0411,82,0.901,0.0123,0.0,0.0,0.9392,0.011,0.9025,0.0123,0.00977,0.00977,0,0,997.0,997.0,200
chapman_ningbo,RBBB,ptbxl,away,0.1,lac,none,8000,6937,0.026,208,0.889,0.0083,0.002,0.0026,0.9127,0.0085,0.8894,0.0083,0.00977,0.00977,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.1,lac,none,8000,7671,0.02738,219,0.9597,0.0023,0.0047,0.0009,0.9866,0.0023,0.9619,0.0023,0.00977,0.00977,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.1,lac,none,7983,7983,0.04121,329,0.8974,0.0075,0.0123,0.0014,0.9355,0.0077,0.9002,0.0076,0.00977,0.00977,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.1,lac,none,4115,4115,0.052,214,0.8466,0.0086,0.0123,0.0038,0.8923,0.0089,0.8528,0.0088,0.00977,0.00977,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.1,lac,none,4124,4124,0.18768,774,0.77,0.0039,0.0066,0.0021,0.9463,0.0043,0.825,0.0041,0.00977,0.00977,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.1,lac,mondrian,1995,1995,0.0411,82,0.9005,0.0126,0.9122,0.0562,0.9,0.013,0.9138,0.0261,0.00701,0.87411,0,0,997.0,997.0,200
chapman_ningbo,RBBB,ptbxl,away,0.1,lac,mondrian,8000,6937,0.026,208,0.8706,0.0041,0.9613,0.0172,0.8682,0.0042,0.8905,0.0281,0.00701,0.87411,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.1,lac,mondrian,8000,7671,0.02738,219,0.972,0.0015,0.8993,0.0124,0.974,0.0015,0.9758,0.0071,0.00701,0.87411,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.1,lac,mondrian,7983,7983,0.04121,329,0.8912,0.0043,0.8857,0.0247,0.8915,0.0043,0.9064,0.0247,0.00701,0.87411,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.1,lac,mondrian,4115,4115,0.052,214,0.8506,0.0046,0.8343,0.0232,0.8515,0.0047,0.8869,0.0294,0.00701,0.87411,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.1,lac,mondrian,4124,4124,0.18768,774,0.8732,0.0034,0.6734,0.0147,0.9194,0.0026,0.9386,0.0172,0.00701,0.87411,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.1,lac,weighted,1995,1995,0.0411,82,0.9001,0.0104,0.0001,0.0013,0.9384,0.0118,0.9017,0.0103,0.00973,0.00973,0,0,997.0,994.8,200
chapman_ningbo,RBBB,ptbxl,away,0.1,lac,weighted,8000,6937,0.026,208,0.8782,0.0068,0.0,0.0003,0.9017,0.007,0.8785,0.0069,0.0089,0.00887,0,0,997.0,994.8,200
chapman_ningbo,RBBB,sph,away,0.1,lac,weighted,8000,7671,0.02738,219,0.9547,0.0018,0.0046,0.0,0.9815,0.0018,0.9568,0.0018,0.00831,0.00828,0,0,997.0,990.5,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.1,lac,weighted,7983,7983,0.04121,329,0.8976,0.0064,0.0123,0.0012,0.9356,0.0066,0.9004,0.0065,0.00978,0.00977,0,0,997.0,996.4,200
chapman_ningbo,RBBB,georgia,away,0.1,lac,weighted,4115,4115,0.052,214,0.8752,0.0067,0.0254,0.003,0.9219,0.0069,0.8818,0.0067,0.01284,0.01293,0,0,997.0,985.7,200
chapman_ningbo,RBBB,cpsc,away,0.1,lac,weighted,4124,4124,0.18768,774,0.8822,0.0078,0.4225,0.0391,0.9884,0.0007,0.9454,0.0084,0.06051,0.06261,0,0,997.0,771.8,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.1,aps,none,1995,1995,0.0411,82,0.8995,0.0142,0.8484,0.0482,0.9017,0.0142,0.9132,0.0145,0.90099,0.90099,0,0,997.0,997.0,200
chapman_ningbo,RBBB,ptbxl,away,0.1,aps,none,8000,6937,0.026,208,0.9004,0.01,0.9021,0.0163,0.9004,0.01,0.9146,0.0106,0.90099,0.90099,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.1,aps,none,8000,7671,0.02738,219,0.9003,0.0101,0.8451,0.0181,0.9019,0.0101,0.9065,0.0104,0.90099,0.90099,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.1,aps,none,7983,7983,0.04121,329,0.8992,0.01,0.826,0.0139,0.9023,0.01,0.9151,0.0107,0.90099,0.90099,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.1,aps,none,4115,4115,0.052,214,0.892,0.0106,0.7858,0.0143,0.8978,0.0108,0.9298,0.012,0.90099,0.90099,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.1,aps,none,4124,4124,0.18768,774,0.8479,0.0102,0.629,0.0097,0.8984,0.0111,0.927,0.0122,0.90099,0.90099,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.1,aps,mondrian,1995,1995,0.0411,82,0.8998,0.0142,0.9167,0.0619,0.8991,0.0146,0.9416,0.0754,0.89844,0.96394,0,0,997.0,997.0,200
chapman_ningbo,RBBB,ptbxl,away,0.1,aps,mondrian,8000,6937,0.026,208,0.8994,0.01,0.9569,0.032,0.8978,0.0104,0.9463,0.0709,0.89844,0.96394,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.1,aps,mondrian,8000,7671,0.02738,219,0.8993,0.0101,0.8956,0.0306,0.8994,0.0104,0.9139,0.0304,0.89844,0.96394,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.1,aps,mondrian,7983,7983,0.04121,329,0.8993,0.0099,0.889,0.0392,0.8998,0.0103,0.944,0.0738,0.89844,0.96394,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.1,aps,mondrian,4115,4115,0.052,214,0.8924,0.0104,0.8402,0.0373,0.8952,0.0111,0.9636,0.0683,0.89844,0.96394,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.1,aps,mondrian,4124,4124,0.18768,774,0.8542,0.0109,0.6738,0.033,0.8959,0.0112,0.9505,0.0504,0.89844,0.96394,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.1,aps,weighted,1995,1995,0.0411,82,0.8993,0.0141,0.8482,0.0479,0.9015,0.0141,0.913,0.0144,0.90081,0.90081,0,0,997.0,994.8,200
chapman_ningbo,RBBB,ptbxl,away,0.1,aps,weighted,8000,6937,0.026,208,0.8997,0.0101,0.9015,0.0168,0.8997,0.0101,0.9138,0.0107,0.90027,0.90007,0,0,997.0,994.8,200
chapman_ningbo,RBBB,sph,away,0.1,aps,weighted,8000,7671,0.02738,219,0.8992,0.0102,0.8437,0.0182,0.9008,0.0102,0.9053,0.0104,0.89991,0.89961,0,0,997.0,990.5,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.1,aps,weighted,7983,7983,0.04121,329,0.8991,0.01,0.8259,0.014,0.9022,0.0101,0.915,0.0107,0.90087,0.90086,0,0,997.0,996.4,200
chapman_ningbo,RBBB,georgia,away,0.1,aps,weighted,4115,4115,0.052,214,0.8928,0.0106,0.7864,0.0143,0.8986,0.0108,0.9308,0.012,0.90178,0.90218,0,0,997.0,985.7,200
chapman_ningbo,RBBB,cpsc,away,0.1,aps,weighted,4124,4124,0.18768,774,0.8532,0.0104,0.6339,0.0096,0.9038,0.0114,0.9337,0.0127,0.90639,0.90867,0,0,997.0,771.8,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.05,lac,none,1995,1995,0.0411,82,0.9511,0.0096,0.1558,0.0734,0.9851,0.0051,0.9531,0.0095,0.0279,0.0279,0,0,997.0,997.0,200
chapman_ningbo,RBBB,ptbxl,away,0.05,lac,none,8000,6937,0.026,208,0.9523,0.006,0.1909,0.0749,0.9726,0.0042,0.9532,0.0064,0.0279,0.0279,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.05,lac,none,8000,7671,0.02738,219,0.9768,0.0025,0.2236,0.0732,0.998,0.0005,0.9792,0.0026,0.0279,0.0279,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.05,lac,none,7983,7983,0.04121,329,0.949,0.0047,0.1624,0.0513,0.9828,0.0027,0.9529,0.0049,0.0279,0.0279,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.05,lac,none,4115,4115,0.052,214,0.9143,0.0061,0.1161,0.0346,0.9581,0.0046,0.9218,0.0066,0.0279,0.0279,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.05,lac,none,4124,4124,0.18768,774,0.8274,0.0112,0.1511,0.0532,0.9836,0.0017,0.8872,0.0117,0.0279,0.0279,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.05,lac,mondrian,1995,1995,0.0411,82,0.9505,0.009,0.9582,0.0442,0.9502,0.0092,1.1956,0.2155,0.01125,0.97768,0,0,997.0,997.0,200
chapman_ningbo,RBBB,ptbxl,away,0.05,lac,mondrian,8000,6937,0.026,208,0.929,0.0061,0.9904,0.0142,0.9274,0.0063,1.1732,0.1903,0.01125,0.97768,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.05,lac,mondrian,8000,7671,0.02738,219,0.9892,0.0016,0.9436,0.0291,0.9905,0.0015,1.0819,0.1049,0.01125,0.97768,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.05,lac,mondrian,7983,7983,0.04121,329,0.9492,0.0056,0.9543,0.0393,0.9489,0.0057,1.1954,0.214,0.01125,0.97768,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.05,lac,mondrian,4115,4115,0.052,214,0.9087,0.0072,0.905,0.0449,0.9089,0.0074,1.1566,0.1792,0.01125,0.97768,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.05,lac,mondrian,4124,4124,0.18768,774,0.916,0.0119,0.7489,0.063,0.9546,0.004,1.1219,0.1424,0.01125,0.97768,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.05,lac,weighted,1995,1995,0.0411,82,0.9505,0.0072,0.1524,0.0842,0.9843,0.0057,0.9525,0.0071,0.02761,0.02763,0,0,997.0,994.8,200
chapman_ningbo,RBBB,ptbxl,away,0.05,lac,weighted,8000,6937,0.026,208,0.9424,0.0054,0.0865,0.0375,0.9652,0.0046,0.9429,0.0055,0.02146,0.02136,0,0,997.0,994.8,200
chapman_ningbo,RBBB,sph,away,0.05,lac,weighted,8000,7671,0.02738,219,0.9707,0.0014,0.0632,0.0261,0.9963,0.0007,0.973,0.0014,0.01717,0.017,0,0,997.0,990.5,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.05,lac,weighted,7983,7983,0.04121,329,0.9493,0.0032,0.1644,0.0375,0.983,0.0018,0.9531,0.0034,0.02772,0.02777,0,0,997.0,996.4,200
chapman_ningbo,RBBB,georgia,away,0.05,lac,weighted,4115,4115,0.052,214,0.9333,0.0038,0.2466,0.036,0.971,0.0021,0.9433,0.0042,0.05417,0.05506,0,0,997.0,985.7,200
chapman_ningbo,RBBB,cpsc,away,0.05,lac,weighted,4124,4124,0.18768,774,0.9091,0.0065,0.5558,0.0318,0.9908,0.0007,0.9751,0.0077,0.14351,0.16302,0,0,997.0,771.8,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.05,aps,none,1995,1995,0.0411,82,0.9502,0.0092,0.9021,0.0371,0.9522,0.0093,0.9724,0.0107,0.95046,0.95046,0,0,997.0,997.0,200
chapman_ningbo,RBBB,ptbxl,away,0.05,aps,none,8000,6937,0.026,208,0.9505,0.0069,0.9457,0.0119,0.9506,0.007,0.9706,0.0084,0.95046,0.95046,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.05,aps,none,8000,7671,0.02738,219,0.9497,0.0069,0.8841,0.0107,0.9515,0.007,0.9593,0.0078,0.95046,0.95046,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.05,aps,none,7983,7983,0.04121,329,0.9487,0.007,0.8698,0.0099,0.9521,0.0071,0.972,0.0088,0.95046,0.95046,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.05,aps,none,4115,4115,0.052,214,0.9422,0.0076,0.8217,0.0104,0.9488,0.0078,0.992,0.01,0.95046,0.95046,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.05,aps,none,4124,4124,0.18768,774,0.8946,0.0071,0.6599,0.0061,0.9488,0.0078,0.9921,0.0114,0.95046,0.95046,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.05,aps,mondrian,1995,1995,0.0411,82,0.9499,0.0095,0.9589,0.0451,0.9495,0.0099,1.2619,0.2555,0.94774,0.9922,0,0,997.0,997.0,200
chapman_ningbo,RBBB,ptbxl,away,0.05,aps,mondrian,8000,6937,0.026,208,0.9489,0.0074,0.9874,0.0179,0.9479,0.0077,1.2437,0.2276,0.94774,0.9922,0,0,997.0,997.0,200
chapman_ningbo,RBBB,sph,away,0.05,aps,mondrian,8000,7671,0.02738,219,0.9488,0.0073,0.9452,0.0329,0.9489,0.0075,1.1008,0.1777,0.94774,0.9922,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.05,aps,mondrian,7983,7983,0.04121,329,0.9495,0.0074,0.9535,0.0391,0.9493,0.0076,1.2599,0.2502,0.94774,0.9922,0,0,997.0,997.0,200
chapman_ningbo,RBBB,georgia,away,0.05,aps,mondrian,4115,4115,0.052,214,0.944,0.0081,0.9104,0.0502,0.9459,0.0084,1.2535,0.2153,0.94774,0.9922,0,0,997.0,997.0,200
chapman_ningbo,RBBB,cpsc,away,0.05,aps,mondrian,4124,4124,0.18768,774,0.912,0.0162,0.7642,0.0797,0.9461,0.0084,1.1906,0.1884,0.94774,0.9922,0,0,997.0,997.0,200
chapman_ningbo,RBBB,chapman_ningbo-calibration-holdout,calibration holdout,0.05,aps,weighted,1995,1995,0.0411,82,0.9499,0.0091,0.9017,0.0374,0.952,0.0092,0.972,0.0107,0.95017,0.95007,0,0,997.0,994.8,200
chapman_ningbo,RBBB,ptbxl,away,0.05,aps,weighted,8000,6937,0.026,208,0.9497,0.0071,0.9444,0.0123,0.9498,0.0071,0.9696,0.0085,0.94959,0.9494,0,0,997.0,994.8,200
chapman_ningbo,RBBB,sph,away,0.05,aps,weighted,8000,7671,0.02738,219,0.9485,0.0071,0.883,0.0109,0.9503,0.0071,0.9579,0.0079,0.94923,0.94885,0,0,997.0,990.5,200
chapman_ningbo,RBBB,chapman_ningbo,home,0.05,aps,weighted,7983,7983,0.04121,329,0.9485,0.0071,0.8695,0.0099,0.9519,0.0072,0.9717,0.0088,0.95028,0.95024,0,0,997.0,996.4,200
chapman_ningbo,RBBB,georgia,away,0.05,aps,weighted,4115,4115,0.052,214,0.9431,0.0075,0.8226,0.0104,0.9497,0.0077,0.9933,0.0099,0.95123,0.95174,0,0,997.0,985.7,200
chapman_ningbo,RBBB,cpsc,away,0.05,aps,weighted,4124,4124,0.18768,774,0.9001,0.0077,0.6646,0.0059,0.9545,0.0086,1.0026,0.0143,0.95607,0.9588,0,0,997.0,771.8,200
chapman_ningbo,IAVB,chapman_ningbo-calibration-holdout,calibration holdout,0.2,lac,none,1995,1995,0.02105,42,0.7996,0.018,0.0494,0.0411,0.816,0.0176,0.8003,0.0182,0.04773,0.04773,0,0,997.0,997.0,200
chapman_ningbo,IAVB,ptbxl,away,0.2,lac,none,8000,6937,0.04813,385,0.7423,0.0087,0.0316,0.0062,0.7783,0.0088,0.7446,0.0089,0.04773,0.04773,0,0,997.0,997.0,200
chapman_ningbo,IAVB,sph,away,0.2,lac,none,8000,7671,0.00838,67,0.924,0.0038,0.061,0.0122,0.9313,0.0038,0.9243,0.0039,0.04773,0.04773,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo,home,0.2,lac,none,7983,7983,0.02869,229,0.7847,0.0128,0.0167,0.0068,0.8074,0.013,0.7859,0.0129,0.04773,0.04773,0,0,997.0,997.0,200
chapman_ningbo,IAVB,georgia,away,0.2,lac,none,4115,4115,0.07631,314,0.7396,0.01,0.071,0.0144,0.7949,0.0098,0.7428,0.0106,0.04773,0.04773,0,0,997.0,997.0,200
chapman_ningbo,IAVB,cpsc,away,0.2,lac,none,4124,4124,0.08099,334,0.7572,0.01,0.0498,0.0162,0.8195,0.0095,0.7619,0.0102,0.04773,0.04773,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo-calibration-holdout,calibration holdout,0.2,lac,mondrian,1995,1995,0.02105,42,0.8006,0.0171,0.8011,0.1238,0.8006,0.0171,0.8463,0.0336,0.04136,0.76052,0,0,997.0,997.0,200
chapman_ningbo,IAVB,ptbxl,away,0.2,lac,mondrian,8000,6937,0.04813,385,0.7668,0.0079,0.8259,0.0872,0.7638,0.0067,0.8555,0.0367,0.04136,0.76052,0,0,997.0,997.0,200
chapman_ningbo,IAVB,sph,away,0.2,lac,mondrian,8000,7671,0.00838,67,0.9247,0.0032,0.9341,0.0469,0.9247,0.0032,0.9511,0.0112,0.04136,0.76052,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo,home,0.2,lac,mondrian,7983,7983,0.02869,229,0.7883,0.01,0.8572,0.0799,0.7863,0.0098,0.8397,0.0309,0.04136,0.76052,0,0,997.0,997.0,200
chapman_ningbo,IAVB,georgia,away,0.2,lac,mondrian,4115,4115,0.07631,314,0.7872,0.009,0.8735,0.0828,0.7801,0.0066,0.87,0.0351,0.04136,0.76052,0,0,997.0,997.0,200
chapman_ningbo,IAVB,cpsc,away,0.2,lac,mondrian,4124,4124,0.08099,334,0.807,0.0085,0.8384,0.0629,0.8043,0.007,0.8685,0.0299,0.04136,0.76052,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo-calibration-holdout,calibration holdout,0.2,lac,weighted,1995,1995,0.02105,42,0.8015,0.0228,0.0563,0.0786,0.8178,0.0222,0.8073,0.0867,0.04808,0.04815,1,1,997.0,990.9,200
chapman_ningbo,IAVB,ptbxl,away,0.2,lac,weighted,8000,6937,0.04813,385,0.7885,0.0128,0.0979,0.0265,0.8234,0.0122,0.7929,0.0137,0.07342,0.07551,0,0,997.0,805.4,200
chapman_ningbo,IAVB,sph,away,0.2,lac,weighted,8000,7671,0.00838,67,0.924,0.0196,0.1068,0.2264,0.9309,0.0178,0.9841,0.2573,0.04289,0.04273,12,12,997.0,987.0,200
chapman_ningbo,IAVB,chapman_ningbo,home,0.2,lac,weighted,7983,7983,0.02869,229,0.7996,0.0113,0.0241,0.0056,0.8225,0.0115,0.8008,0.0114,0.05263,0.05288,0,0,997.0,983.1,200
chapman_ningbo,IAVB,georgia,away,0.2,lac,weighted,4115,4115,0.07631,314,0.8018,0.0119,0.1923,0.0268,0.8521,0.0107,0.8089,0.0129,0.08704,0.08973,0,0,997.0,682.3,200
chapman_ningbo,IAVB,cpsc,away,0.2,lac,weighted,4124,4124,0.08099,334,0.8212,0.0126,0.1979,0.0346,0.8761,0.0107,0.8282,0.0131,0.08219,0.08459,0,0,997.0,728.0,200
chapman_ningbo,IAVB,chapman_ningbo-calibration-holdout,calibration holdout,0.2,aps,none,1995,1995,0.02105,42,0.8011,0.018,0.6683,0.0857,0.8041,0.0181,0.8303,0.0188,0.78737,0.78737,0,0,997.0,997.0,200
chapman_ningbo,IAVB,ptbxl,away,0.2,aps,none,8000,6937,0.04813,385,0.7894,0.0127,0.6908,0.0182,0.7944,0.0128,0.8612,0.0153,0.78737,0.78737,0,0,997.0,997.0,200
chapman_ningbo,IAVB,sph,away,0.2,aps,none,8000,7671,0.00838,67,0.7915,0.0132,0.8116,0.0387,0.7913,0.0132,0.8079,0.014,0.78737,0.78737,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo,home,0.2,aps,none,7983,7983,0.02869,229,0.8023,0.0131,0.7341,0.0208,0.8043,0.0131,0.838,0.0147,0.78737,0.78737,0,0,997.0,997.0,200
chapman_ningbo,IAVB,georgia,away,0.2,aps,none,4115,4115,0.07631,314,0.7893,0.0128,0.7291,0.0198,0.7943,0.0129,0.8657,0.0156,0.78737,0.78737,0,0,997.0,997.0,200
chapman_ningbo,IAVB,cpsc,away,0.2,aps,none,4124,4124,0.08099,334,0.7913,0.0137,0.7141,0.0179,0.7981,0.0141,0.851,0.016,0.78737,0.78737,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo-calibration-holdout,calibration holdout,0.2,aps,mondrian,1995,1995,0.02105,42,0.8012,0.0182,0.8055,0.1185,0.8012,0.0183,0.8787,0.0493,0.78461,0.90777,0,0,997.0,997.0,200
chapman_ningbo,IAVB,ptbxl,away,0.2,aps,mondrian,8000,6937,0.04813,385,0.7935,0.013,0.8307,0.0738,0.7916,0.013,0.9195,0.0474,0.78461,0.90777,0,0,997.0,997.0,200
chapman_ningbo,IAVB,sph,away,0.2,aps,mondrian,8000,7671,0.00838,67,0.7896,0.0134,0.9163,0.0524,0.7885,0.0134,0.8243,0.0214,0.78461,0.90777,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo,home,0.2,aps,mondrian,7983,7983,0.02869,229,0.803,0.0132,0.8572,0.063,0.8014,0.0133,0.8876,0.0489,0.78461,0.90777,0,0,997.0,997.0,200
chapman_ningbo,IAVB,georgia,away,0.2,aps,mondrian,4115,4115,0.07631,314,0.7967,0.0133,0.8586,0.065,0.7916,0.0129,0.9221,0.0442,0.78461,0.90777,0,0,997.0,997.0,200
chapman_ningbo,IAVB,cpsc,away,0.2,aps,mondrian,4124,4124,0.08099,334,0.7986,0.0144,0.8363,0.0588,0.7952,0.0142,0.9009,0.0445,0.78461,0.90777,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo-calibration-holdout,calibration holdout,0.2,aps,weighted,1995,1995,0.02105,42,0.8021,0.0227,0.6693,0.0881,0.805,0.0227,0.8362,0.0849,0.78748,0.78755,1,1,997.0,990.9,200
chapman_ningbo,IAVB,ptbxl,away,0.2,aps,weighted,8000,6937,0.04813,385,0.798,0.0146,0.7007,0.02,0.8029,0.0146,0.8723,0.018,0.79571,0.79855,0,0,997.0,805.4,200
chapman_ningbo,IAVB,sph,away,0.2,aps,weighted,8000,7671,0.00838,67,0.8016,0.0518,0.8195,0.0592,0.8014,0.0518,0.8768,0.2848,0.78494,0.7844,12,12,997.0,987.0,200
chapman_ningbo,IAVB,chapman_ningbo,home,0.2,aps,weighted,7983,7983,0.02869,229,0.8042,0.0134,0.7369,0.0206,0.8062,0.0135,0.8402,0.0151,0.78922,0.7898,0,0,997.0,983.1,200
chapman_ningbo,IAVB,georgia,away,0.2,aps,weighted,4115,4115,0.07631,314,0.8012,0.016,0.7443,0.0225,0.8059,0.0161,0.8815,0.0201,0.79922,0.80312,0,0,997.0,682.3,200
chapman_ningbo,IAVB,cpsc,away,0.2,aps,weighted,4124,4124,0.08099,334,0.8023,0.0167,0.7269,0.0188,0.8089,0.0172,0.8647,0.0198,0.79788,0.80131,0,0,997.0,728.0,200
chapman_ningbo,IAVB,chapman_ningbo-calibration-holdout,calibration holdout,0.1,lac,none,1995,1995,0.02105,42,0.9003,0.0129,0.2435,0.0791,0.9146,0.0121,0.9026,0.0131,0.11299,0.11299,0,0,997.0,997.0,200
chapman_ningbo,IAVB,ptbxl,away,0.1,lac,none,8000,6937,0.04813,385,0.8325,0.0067,0.1845,0.0182,0.8653,0.0061,0.8403,0.0075,0.11299,0.11299,0,0,997.0,997.0,200
chapman_ningbo,IAVB,sph,away,0.1,lac,none,8000,7671,0.00838,67,0.9541,0.0018,0.3835,0.0311,0.9589,0.0015,0.9553,0.0019,0.11299,0.11299,0,0,997.0,997.0,200
chapman_ningbo,IAVB,chapman_ningbo,home,0.1,lac,none,7983,7983,0.02869,229,0.8885,0.0067,0.1637,0.0192,0.9099,0.0063,0.8904,0.0068,0.11299,0.11299,0,0,997.0,997.0,200
chapman_ningbo,IAVB,georgia,away,0.1,lac,none,4115,4115,0.07631,314,0.8242,0.0054,0.2368,0.013,0.8727,0.0049,0.8335,0.0063,0.11299,0.11299,0,0,997.0,997.0,200
