source,label,corpus,role,correction,subgroup_kind,subgroup,n_positive,n_positive_patients,thin,coverage,sd_over_calibration_draws,bootstrap_lo,bootstrap_hi,bootstrap_width,chow_coverage,conformal_minus_chow
ptbxl,AF,sph,away,mondrian,age,50-64,67,63,False,0.9452,0.025,0.8913,0.9862,0.0949,0.9266,0.0187
ptbxl,AF,sph,away,mondrian,age,65-74,72,63,False,0.9432,0.0242,0.8921,0.9863,0.0942,0.9306,0.0126
ptbxl,AF,sph,away,mondrian,age,>=75,59,56,False,0.9131,0.0156,0.8271,0.9824,0.1552,0.9036,0.0094
ptbxl,AF,chapman_ningbo,away,none,all,all,321,321,False,0.1591,0.0327,0.1229,0.196,0.0731,0.1543,0.0048
ptbxl,AF,chapman_ningbo,away,none,sex,male,191,191,False,0.1433,0.033,0.0973,0.1898,0.0926,0.1389,0.0044
ptbxl,AF,chapman_ningbo,away,none,sex,female,130,130,False,0.1823,0.033,0.1244,0.2448,0.1204,0.1769,0.0055
ptbxl,AF,chapman_ningbo,away,none,age,<50,17,17,True,0.0188,0.0506,0.0,0.0412,0.0412,0.0141,0.0047
ptbxl,AF,chapman_ningbo,away,none,age,50-64,52,52,False,0.1387,0.0186,0.0573,0.2287,0.1714,0.1358,0.0029
ptbxl,AF,chapman_ningbo,away,none,age,65-74,85,85,False,0.1679,0.038,0.0985,0.248,0.1495,0.1615,0.0064
ptbxl,AF,chapman_ningbo,away,none,age,>=75,167,167,False,0.1753,0.0349,0.126,0.2284,0.1024,0.1707,0.0046
ptbxl,AF,chapman_ningbo,away,mondrian,all,all,321,321,False,0.9238,0.0427,0.8988,0.9461,0.0473,0.8916,0.0322
ptbxl,AF,chapman_ningbo,away,mondrian,sex,male,191,191,False,0.9406,0.0365,0.9118,0.9648,0.053,0.9115,0.0291
ptbxl,AF,chapman_ningbo,away,mondrian,sex,female,130,130,False,0.8991,0.0535,0.8542,0.9391,0.085,0.8624,0.0367
ptbxl,AF,chapman_ningbo,away,mondrian,age,<50,17,17,True,0.8224,0.05,0.6435,0.96,0.3165,0.7924,0.03
ptbxl,AF,chapman_ningbo,away,mondrian,age,50-64,52,52,False,0.9486,0.0245,0.8919,0.9914,0.0995,0.9334,0.0152
ptbxl,AF,chapman_ningbo,away,mondrian,age,65-74,85,85,False,0.9138,0.058,0.8629,0.9556,0.0927,0.8699,0.0439
ptbxl,AF,chapman_ningbo,away,mondrian,age,>=75,167,167,False,0.9316,0.0415,0.8975,0.9599,0.0624,0.8998,0.0318
ptbxl,AF,georgia,away,none,all,all,215,215,False,0.2036,0.0306,0.1523,0.2565,0.1042,0.1987,0.0049
ptbxl,AF,georgia,away,none,sex,male,131,131,False,0.1887,0.0278,0.1309,0.2537,0.1228,0.1845,0.0042
ptbxl,AF,georgia,away,none,sex,female,84,84,False,0.2268,0.0361,0.1477,0.3127,0.1649,0.2208,0.006
ptbxl,AF,georgia,away,none,age,<50,15,15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,AF,georgia,away,none,age,50-64,48,48,False,0.244,0.0306,0.1249,0.3658,0.2409,0.2393,0.0047
ptbxl,AF,georgia,away,none,age,65-74,64,64,False,0.1798,0.0215,0.0929,0.2775,0.1846,0.1767,0.0031
ptbxl,AF,georgia,away,none,age,>=75,88,88,False,0.2335,0.0447,0.1599,0.319,0.1591,0.2264,0.0071
ptbxl,AF,georgia,away,mondrian,all,all,215,215,False,0.775,0.0531,0.7239,0.8213,0.0974,0.7385,0.0365
ptbxl,AF,georgia,away,mondrian,sex,male,131,131,False,0.8144,0.0397,0.7525,0.8737,0.1211,0.7886,0.0258
ptbxl,AF,georgia,away,mondrian,sex,female,84,84,False,0.7135,0.0756,0.6225,0.8016,0.1791,0.6603,0.0532
ptbxl,AF,georgia,away,mondrian,age,<50,15,15,True,0.6277,0.0939,0.4023,0.835,0.4327,0.565,0.0627
ptbxl,AF,georgia,away,mondrian,age,50-64,48,48,False,0.7985,0.0554,0.6912,0.896,0.2048,0.7554,0.0431
ptbxl,AF,georgia,away,mondrian,age,65-74,64,64,False,0.7191,0.0559,0.61,0.8141,0.2041,0.6854,0.0337
ptbxl,AF,georgia,away,mondrian,age,>=75,88,88,False,0.8278,0.0482,0.7529,0.8926,0.1397,0.7974,0.0305
ptbxl,AF,cpsc,away,none,all,all,549,549,False,0.2425,0.0414,0.2115,0.2771,0.0656,0.2365,0.0061
ptbxl,AF,cpsc,away,none,sex,male,319,319,False,0.2237,0.0483,0.1823,0.2678,0.0855,0.2169,0.0069
ptbxl,AF,cpsc,away,none,sex,female,230,230,False,0.2686,0.0324,0.2147,0.3231,0.1085,0.2636,0.005
ptbxl,AF,cpsc,away,none,age,<50,31,31,False,0.1977,0.0227,0.0697,0.3362,0.2665,0.1963,0.0015
ptbxl,AF,cpsc,away,none,age,50-64,112,112,False,0.2446,0.0282,0.1712,0.3262,0.155,0.241,0.0036
ptbxl,AF,cpsc,away,none,age,65-74,130,130,False,0.2746,0.044,0.2014,0.3495,0.1482,0.2675,0.0071
ptbxl,AF,cpsc,away,none,age,>=75,276,276,False,0.2316,0.0492,0.1859,0.278,0.0921,0.2245,0.0071
ptbxl,AF,cpsc,away,mondrian,all,all,549,549,False,0.8556,0.0344,0.8279,0.8821,0.0542,0.8315,0.0241
ptbxl,AF,cpsc,away,mondrian,sex,male,319,319,False,0.8788,0.03,0.8444,0.9102,0.0659,0.8598,0.019
ptbxl,AF,cpsc,away,mondrian,sex,female,230,230,False,0.8233,0.0412,0.7763,0.8683,0.092,0.7922,0.0311
ptbxl,AF,cpsc,away,mondrian,age,<50,31,31,False,0.8595,0.0165,0.7305,0.9673,0.2368,0.8468,0.0127
ptbxl,AF,cpsc,away,mondrian,age,50-64,112,112,False,0.8983,0.0369,0.847,0.943,0.096,0.8686,0.0297
ptbxl,AF,cpsc,away,mondrian,age,65-74,130,130,False,0.825,0.0409,0.7638,0.8817,0.1179,0.7983,0.0267
ptbxl,AF,cpsc,away,mondrian,age,>=75,276,276,False,0.8521,0.0337,0.8128,0.8903,0.0775,0.8303,0.0218
ptbxl,LBBB,ptbxl,home,none,all,all,216,180,False,0.0132,0.0017,0.0,0.0348,0.0348,0.0129,0.0003
ptbxl,LBBB,ptbxl,home,none,sex,male,122,100,False,0.0152,0.0029,0.0,0.0492,0.0492,0.0147,0.0005
ptbxl,LBBB,ptbxl,home,none,sex,female,94,80,False,0.0106,0.0,0.0,0.033,0.033,0.0106,0.0
ptbxl,LBBB,ptbxl,home,none,age,<50,10,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,ptbxl,home,none,age,50-64,69,53,False,0.0413,0.0052,0.0,0.1049,0.1049,0.0405,0.0008
ptbxl,LBBB,ptbxl,home,none,age,65-74,60,52,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,ptbxl,home,none,age,>=75,77,65,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,ptbxl,home,mondrian,all,all,216,180,False,0.8973,0.0511,0.8606,0.9306,0.07,0.8361,0.0612
ptbxl,LBBB,ptbxl,home,mondrian,sex,male,122,100,False,0.902,0.0517,0.8519,0.9458,0.094,0.8359,0.0661
ptbxl,LBBB,ptbxl,home,mondrian,sex,female,94,80,False,0.8912,0.0514,0.8356,0.9409,0.1053,0.8364,0.0548
ptbxl,LBBB,ptbxl,home,mondrian,age,<50,10,10,True,0.9435,0.0654,0.8485,1.0,0.1515,0.8525,0.091
ptbxl,LBBB,ptbxl,home,mondrian,age,50-64,69,53,False,0.9451,0.0253,0.892,0.9872,0.0952,0.9171,0.028
ptbxl,LBBB,ptbxl,home,mondrian,age,65-74,60,52,False,0.8597,0.0615,0.7746,0.9302,0.1556,0.7908,0.0689
ptbxl,LBBB,ptbxl,home,mondrian,age,>=75,77,65,False,0.8777,0.0675,0.8169,0.9341,0.1172,0.7968,0.081
ptbxl,LBBB,sph,away,none,all,all,23,21,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,sph,away,none,sex,male,10,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,sph,away,none,sex,female,13,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,sph,away,none,age,<50,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,sph,away,none,age,50-64,7,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,sph,away,none,age,65-74,6,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,sph,away,none,age,>=75,9,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,sph,away,mondrian,all,all,23,21,True,0.9546,0.0252,0.8679,1.0,0.1321,0.9324,0.0222
ptbxl,LBBB,sph,away,mondrian,sex,male,10,9,True,0.99,0.0361,0.975,1.0,0.025,0.9605,0.0295
ptbxl,LBBB,sph,away,mondrian,sex,female,13,12,True,0.9273,0.0258,0.7687,1.0,0.2313,0.9108,0.0165
ptbxl,LBBB,sph,away,mondrian,age,<50,1,1,True,1.0,0.0,1.0,1.0,0.0,1.0,0.0
ptbxl,LBBB,sph,away,mondrian,age,50-64,7,7,True,0.8679,0.0377,0.6036,1.0,0.3964,0.8536,0.0143
ptbxl,LBBB,sph,away,mondrian,age,65-74,6,6,True,1.0,0.0,1.0,1.0,0.0,0.9958,0.0042
ptbxl,LBBB,sph,away,mondrian,age,>=75,9,7,True,0.9867,0.0552,0.97,1.0,0.03,0.9439,0.0428
ptbxl,LBBB,chapman_ningbo,away,none,all,all,81,81,False,0.0126,0.0017,0.0,0.0375,0.0375,0.0125,0.0001
ptbxl,LBBB,chapman_ningbo,away,none,sex,male,46,46,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,chapman_ningbo,away,none,sex,female,35,35,False,0.0291,0.004,0.0,0.0869,0.0869,0.029,0.0001
ptbxl,LBBB,chapman_ningbo,away,none,age,<50,7,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,chapman_ningbo,away,none,age,50-64,12,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,chapman_ningbo,away,none,age,65-74,18,18,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,chapman_ningbo,away,none,age,>=75,44,44,False,0.0232,0.0032,0.0,0.0691,0.0691,0.0231,0.0001
ptbxl,LBBB,chapman_ningbo,away,mondrian,all,all,81,81,False,0.6415,0.0737,0.5425,0.7417,0.1991,0.5644,0.077
ptbxl,LBBB,chapman_ningbo,away,mondrian,sex,male,46,46,False,0.5048,0.1028,0.3803,0.6309,0.2506,0.4002,0.1046
ptbxl,LBBB,chapman_ningbo,away,mondrian,sex,female,35,35,False,0.8211,0.0375,0.6974,0.9316,0.2342,0.7803,0.0409
ptbxl,LBBB,chapman_ningbo,away,mondrian,age,<50,7,7,True,0.9843,0.0532,0.9586,1.0,0.0414,0.9057,0.0786
ptbxl,LBBB,chapman_ningbo,away,mondrian,age,50-64,12,12,True,0.6654,0.0339,0.4154,0.9092,0.4937,0.6271,0.0383
ptbxl,LBBB,chapman_ningbo,away,mondrian,age,65-74,18,18,True,0.6714,0.1334,0.4839,0.8408,0.357,0.5122,0.1592
ptbxl,LBBB,chapman_ningbo,away,mondrian,age,>=75,44,44,False,0.5682,0.0819,0.427,0.6985,0.2715,0.5144,0.0537
ptbxl,LBBB,georgia,away,none,all,all,90,90,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,georgia,away,none,sex,male,38,38,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,georgia,away,none,sex,female,52,52,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,georgia,away,none,age,<50,3,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,georgia,away,none,age,50-64,31,31,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,georgia,away,none,age,65-74,24,24,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,georgia,away,none,age,>=75,32,32,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,georgia,away,mondrian,all,all,90,90,False,0.7793,0.0748,0.6986,0.8519,0.1534,0.6982,0.0811
ptbxl,LBBB,georgia,away,mondrian,sex,male,38,38,False,0.6551,0.0916,0.5121,0.789,0.2769,0.5559,0.0992
ptbxl,LBBB,georgia,away,mondrian,sex,female,52,52,False,0.87,0.0648,0.7926,0.9411,0.1485,0.8022,0.0678
ptbxl,LBBB,georgia,away,mondrian,age,<50,3,3,True,0.3583,0.088,0.0,1.0,1.0,0.3317,0.0267
ptbxl,LBBB,georgia,away,mondrian,age,50-64,31,31,False,0.7624,0.1002,0.626,0.8811,0.2552,0.654,0.1084
ptbxl,LBBB,georgia,away,mondrian,age,65-74,24,24,True,0.8367,0.0507,0.6953,0.9565,0.2611,0.7823,0.0544
ptbxl,LBBB,georgia,away,mondrian,age,>=75,32,32,False,0.792,0.0759,0.6617,0.9131,0.2514,0.7123,0.0797
ptbxl,LBBB,cpsc,away,none,all,all,113,113,False,0.0177,0.0,0.0,0.0442,0.0442,0.0177,0.0
ptbxl,LBBB,cpsc,away,none,sex,male,61,61,False,0.0164,0.0,0.0,0.0492,0.0492,0.0164,-0.0
ptbxl,LBBB,cpsc,away,none,sex,female,52,52,False,0.0192,0.0,0.0,0.0577,0.0577,0.0192,-0.0
ptbxl,LBBB,cpsc,away,none,age,<50,4,4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,cpsc,away,none,age,50-64,19,19,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptbxl,LBBB,cpsc,away,none,age,65-74,35,35,False,0.0286,0.0,0.0,0.0857,0.0857,0.0286,0.0
ptbxl,LBBB,cpsc,away,none,age,>=75,55,55,False,0.0182,0.0,0.0,0.0545,0.0545,0.0182,0.0
ptbxl,LBBB,cpsc,away,mondrian,all,all,113,113,False,0.6908,0.0732,0.6135,0.7667,0.1532,0.6125,0.0783
ptbxl,LBBB,cpsc,away,mondrian,sex,male,61,61,False,0.628,0.0752,0.5129,0.733,0.2201,0.5551,0.0729
ptbxl,LBBB,cpsc,away,mondrian,sex,female,52,52,False,0.7646,0.0729,0.6579,0.8552,0.1973,0.6799,0.0847
ptbxl,LBBB,cpsc,away,mondrian,age,<50,4,4,True,0.6262,0.135,0.2422,0.99,0.7478,0.4975,0.1287
ptbxl,LBBB,cpsc,away,mondrian,age,50-64,19,19,True,0.61,0.1435,0.4332,0.7832,0.35,0.4682,0.1418
ptbxl,LBBB,cpsc,away,mondrian,age,65-74,35,35,False,0.7829,0.0494,0.6441,0.9006,0.2565,0.7299,0.053
ptbxl,LBBB,cpsc,away,mondrian,age,>=75,55,55,False,0.6649,0.0668,0.5493,0.776,0.2267,0.5961,0.0688
ptbxl,RBBB,ptbxl,home,none,all,all,208,178,False,0.0153,0.01,0.0025,0.033,0.0304,0.014,0.0014
ptbxl,RBBB,ptbxl,home,none,sex,male,144,127,False,0.0106,0.0061,0.0003,0.0284,0.028,0.0099,0.0007
ptbxl,RBBB,ptbxl,home,none,sex,female,64,51,False,0.026,0.0206,0.001,0.0723,0.0713,0.0231,0.0029
ptbxl,RBBB,ptbxl,home,none,age,<50,10,7,True,0.0065,0.0267,0.0,0.0231,0.0231,0.0045,0.002
ptbxl,RBBB,ptbxl,home,none,age,50-64,42,37,False,0.0012,0.0085,0.0001,0.0026,0.0025,0.0007,0.0005
ptbxl,RBBB,ptbxl,home,none,age,65-74,67,58,False,0.0064,0.0078,0.0,0.0211,0.0211,0.0055,0.0009
ptbxl,RBBB,ptbxl,home,none,age,>=75,89,76,False,0.0297,0.0142,0.0017,0.0682,0.0665,0.0276,0.0021
ptbxl,RBBB,ptbxl,home,mondrian,all,all,208,178,False,0.8902,0.071,0.8541,0.9219,0.0678,0.8084,0.0819
ptbxl,RBBB,ptbxl,home,mondrian,sex,male,144,127,False,0.8851,0.0761,0.8431,0.9239,0.0808,0.8005,0.0847
ptbxl,RBBB,ptbxl,home,mondrian,sex,female,64,51,False,0.9018,0.0605,0.8325,0.9536,0.1211,0.8262,0.0756
ptbxl,RBBB,ptbxl,home,mondrian,age,<50,10,7,True,0.941,0.0758,0.8181,1.0,0.1819,0.8625,0.0785
ptbxl,RBBB,ptbxl,home,mondrian,age,50-64,42,37,False,0.9031,0.0707,0.8265,0.9624,0.1358,0.8255,0.0776
